synth_image_id,source_img_name,generator,size_bin,location_zone,contrast_bin,anatomy_overlap,gt_x,gt_y,gt_width,gt_height,generation_seed,qc_pass,grid_repeat_type,radedit_prompt
synth_0000,c0221.mha,radedit,small,upper_left,low,none,321,250,18,18,4200000,,base_no_overlap,"single small pulmonary nodule, low contrast, upper left lung zone, overlap none"
synth_0001,c0300.mha,radedit,small,upper_left,medium,none,320,250,18,18,4200001,,base_no_overlap,"single small pulmonary nodule, medium contrast, upper left lung zone, overlap none"
synth_0002,c0314.mha,radedit,small,upper_left,high,none,319,251,18,18,4200002,,base_no_overlap,"single small pulmonary nodule, high contrast, upper left lung zone, overlap none"
synth_0003,c0457.mha,radedit,small,upper_right,low,none,689,250,18,18,4200003,,base_no_overlap,"single small pulmonary nodule, low contrast, upper right lung zone, overlap none"
synth_0004,c0458.mha,radedit,small,upper_right,medium,none,693,248,18,18,4200004,,base_no_overlap,"single small pulmonary nodule, medium contrast, upper right lung zone, overlap none"
synth_0005,c0471.mha,radedit,small,upper_right,high,none,691,252,18,18,4200005,,base_no_overlap,"single small pulmonary nodule, high contrast, upper right lung zone, overlap none"
synth_0006,c0635.mha,radedit,small,mid_left,low,none,294,502,18,18,4200006,,base_no_overlap,"single small pulmonary nodule, low contrast, mid left lung zone, overlap none"
synth_0007,c0637.mha,radedit,small,mid_left,medium,none,289,502,18,18,4200007,,base_no_overlap,"single small pulmonary nodule, medium contrast, mid left lung zone, overlap none"
synth_0008,c0682.mha,radedit,small,mid_left,high,none,291,504,18,18,4200008,,base_no_overlap,"single small pulmonary nodule, high contrast, mid left lung zone, overlap none"
synth_0009,c0788.mha,radedit,small,mid_right,low,none,714,503,18,18,4200009,,base_no_overlap,"single small pulmonary nodule, low contrast, mid right lung zone, overlap none"
synth_0010,c0791.mha,radedit,small,mid_right,medium,none,714,504,18,18,4200010,,base_no_overlap,"single small pulmonary nodule, medium contrast, mid right lung zone, overlap none"
synth_0011,c0830.mha,radedit,small,mid_right,high,none,712,504,18,18,4200011,,base_no_overlap,"single small pulmonary nodule, high contrast, mid right lung zone, overlap none"
